adcode,name,longitude,latitude,x,y,xrev
130100,石家庄市,114.514793,38.042228,10028.944596541782,4230.363688974002,-21499.034978595213
130200,唐山市,118.180193,39.630867,10121.453929773637,4407.02318274729,-20710.475873543823
130500,邢台市,114.504677,37.070834,10159.644015557873,4122.342941469749,-21782.036808543613
130700,张家口市,114.886252,40.768493,9675.622023259357,4533.52922550674,-20643.270513798678
130109,藁城区,114.847023,38.021453,10060.893535192932,4228.0534718742465,-21476.029042847735
130127,高邑县,114.611121,37.615534,10095.59219301309,4182.9145541887565,-21615.23270577411
130121,井陉县,114.145242,38.032118,9997.96023013346,4229.23943891968,-21534.371909019967
130183,晋州市,115.044213,38.033671,10076.487288736023,4229.41213529301,-21455.17631562944
130107,井陉矿区,114.062062,38.065151,9986.167465934524,4232.912767509633,-21531.93964786137
130126,灵寿县,114.382614,38.308665,9980.810692294588,4259.991959174137,-21432.108837819065
130111,栾城区,114.648318,37.900199,10060.082889728556,4214.569810540244,-21528.953072423807
130110,鹿泉区,114.313654,38.085953,10005.34821459342,4235.225987057605,-21503.795542228756
130131,平山县,114.195918,38.247888,9972.864585373787,4253.23344823927,-21466.361208446302
130104,桥西区,114.461088,38.004193,10029.445956340645,4226.134129051536,-21514.903371202287
130128,深泽县,115.20092,38.184033,10069.464801507971,4246.132658207744,-21397.36140563403
130130,无极县,114.97634,38.179192,10050.502522563616,4245.594330362741,-21418.414544399046
130181,辛集市,115.217658,37.943121,10104.142077990658,4219.342813589858,-21466.46273396132
130125,行唐县,114.552714,38.438377,9977.75069452302,4274.4161652123385,-21378.90707989066
130184,新乐市,114.683776,38.343319,10002.30618517144,4263.845545858853,-21395.598141432863
130105,新华区,114.463377,38.05095,10023.247532619702,4231.333590949649,-21500.976252452558
130108,裕华区,114.531202,38.00643,10035.28339195423,4226.382887446345,-21508.103545550563
130132,元氏县,114.525409,37.766513,10067.524198389834,4199.703688605321,-21578.80427200524
130129,赞皇县,114.386111,37.665663,10068.975568380643,4188.488988508549,-21620.459214632752
130102,长安区,114.539395,38.036347,10031.904781045841,4229.70971127178,-21498.606805613956
130123,正定县,114.570941,38.146444,10019.564624402115,4241.952694281739,-21463.49061894062
130133,赵县,114.776297,37.756578,10090.934152472366,4198.598898863512,-21559.64519049121
130209,曹妃甸区,118.460379,39.27307,10197.721961996707,4367.235517397514,-20793.06109398874
130207,丰南区,118.085169,39.576031,10121.327104253192,4400.92532162179,-20735.026732452156
130208,丰润区,118.162215,39.832582,10090.34510889913,4429.454250967621,-20651.497697650215
130204,古冶区,118.447635,39.733578,10129.281863182521,4418.444829367414,-20656.824341012332
130205,开平区,118.261841,39.671001,10122.568458715981,4411.4861552181255,-20691.467703106944
130225,乐亭县,118.912571,39.425608,10214.328005004802,4384.198015398123,-20708.879279797147
130224,滦南县,118.682379,39.518996,10180.880183528556,4394.582927769342,-20700.84713734256
130223,滦县,118.703598,39.740593,10150.137894331938,4419.22490989472,-20632.835019088066
130202,路南区,118.154354,39.625058,10120.09058799553,4406.377211573645,-20714.427890082654
130203,路北区,118.200692,39.624437,10124.150360890257,4406.308155264669,-20710.644835744395
130283,迁安市,118.701144,39.999174,10111.73981460812,4447.979578865701,-20555.414777085818
130227,迁西县,118.314715,40.1415,10057.782797185453,4463.806484229838,-20545.357370009835
130229,玉田县,117.738658,39.900401,10044.24201587588,4436.995844878013,-20667.2268180505
130281,遵化市,117.965892,40.189201,10021.085629120715,4469.110920613736,-20560.557635048026
130304,北戴河区,119.484522,39.834596,10202.96303178039,4429.678211364198,-20537.978388573123
130322,昌黎县,119.199551,39.700911,10198.412615199966,4414.8122006310605,-20602.27841653041
130306,抚宁区,119.244847,39.876253,10176.318439382576,4434.3105441547905,-20545.970450616394
130302,海港区,119.564962,39.94756,10193.0201049291,4442.240009894013,-20497.302347349825
130324,卢龙县,118.892986,39.891946,10143.968690160167,4436.0556337791695,-20571.28921796958
